user,comments,
Shaveer Rehan,inki jalan dekh k IK phir acha lag hi jata hai,
Mamad Tahir Sardar,Inki shaklen dekh ker ulti ati hai. Mat dekhao inko,
Abdul Muheet,Inqalab,
Shaan Khan,Inshallah hamare hukomat dubara ay gi,
Xh Abid Ali Adv,inshallah i will vote imran khan in next election.,
Irsadh Bha,Inshallah next hakumat bi imran khan ki ho gi,
Muhammad Asif,inshAllah PDM JitY gi us DaFa,
Sajjad Hussain,iNTEHAY DARJY KI MAKKAR AWRAT HY YE NANI AMAA,
Sajjad Hussain,international bhikhari Imran katora khan jane wala hai ????,
Muhammad Hafeez,Is he iviting govt to HIS HOME?,
Mamad Tahir Sardar,"Is he referring to the Poverty, Hunger, Disease and, Homelessness that was created by PPP and Nawaz Shariff.......",
Mamad Tahir Sardar,Is it important news for us ? Illiterate admin,
Amjad Talaash,Is ki London kya Pakistan MA b property NY,
Burhan Hashmi,Is ko to mene Karachi ki chowrangi par dekha tha,
Azam Baig,Is mike ko mun me leye jahil insaaan ??,
Noman Malik,"Is the body being parceled from DHL or TCS? Musharraf is the father of all criminal generals. Otherwise, in a country where the Constitution reigns, those who violate the Constitution are not condoned as heroes.",
Ghaffar Khan,Iski sunta kon hay ...siwaye Sheikh Rasheed ke,
Sar Meen,Isn't there any Mufti in Pakistan who can come out and issue a Fatwa against this so called Maulana for declaring Jihad against a Muslim regeme.,
Kiran Saleem,Iss Larrki noma lotaray ki baiti cheekhain nikal rahai hain,
Faraz Ahmed,iss se zayada to corner meeting mein ikhattay ho jatay hein,
Liaquat Rajar,It all all about having balls that are big enough.,
Muhammad Jamil,It is the need of time,
Muhammad Jamil,It means first one fail,
Ch Shafqat Hasnain Pandha,"It should be Ironic, we must strive a 'Jihad' against you culprits...",
Sher Baz Shomeuo,it should be KPK lead charter.,
Imran Yaqoob,It was good show reasonable gathering,
Shahzad Qamar,Itís a fair statement.,
Gull Baden,Itís called the Wave,
Hakeem Khan,Itís time for you to retire Molana.,
Gull Baden,Itna dramatic speech! Kia urdu hai....good improvement!,
Faizullah Fragh Pmln,"Itna jihad ka shouq hai toh kashmir mein karo, at least mulk ka faida hi hoga",
Faizullah Fragh Pmln,Itna tujy logo ki fikar he to jalsa nhi karti,
MuhammadQasim MuhammadQasim MuhammadQasim,"Itni maar khaye gi tu mujh se qasam se , Awam ko pagal bana rahy ho , Matlab koi mazak chal raha ha ? Hamen short term memory loss ha jo ham panama case ka kacha chatta bhool gae ? Or ab apki bar bar per yaqeen kren gen ? Ye sari mehnat akhir q ?",
Ishfaq Ali Shah,"Its a revolution in the making. Now Imran would know whats called ""pissing the pants"" that he used to say about Pakistan Army.",
Hamza Jan,Its almost empty,
Raja Ibrahim,Its Bilawal zardaris U-turn time,
Raja Ibrahim,Its not ur it was just and only of durrani,
??? ???? ???chor??,Its proven that PML(N) along with socalled opposition using fool and stupid people's just for ther personal purpose as they try to get rid of Corruption cases they haven't any care of people's health during pandemic,
Cricket Bats Seller,It's true,
Junaid Rajput,I've never seen so many decieted lalus in my life,
Imran Jalal Khan Niazi,Izhar b mushkil ha chup ra b ni skty majboor ha uf ALLAH khuch kah b ni skty,
Zeeshan Khan,"ja apnay bhgoray bap ko la,,",
Haroon Baig,Jaaa Qatar k shzady ko smbhal,
Hafiz Ihtsham,Jab elakshan k time hota to asa bat karta a,
Sibghat Ullah Bangash,Jahad cannot be declared by a hypocrite and he's the biggest hypocrite ever born,
Luk Hus,Jahil molvi. He dont know the meaning of Jihad.,
Sardar Asad Sardar Asad,Jahil mulla......,
Mir Basharat Sulhria,Jalse se kuch bhi nhe hota! Imran khan kahi nhe jaye,
Faizullah Fragh Pmln,Jalsssa????????,
Ali Nawaz Saboor,"Jan choro Jan choro.""",
Ihsan Ullah,Jay kisi ne imran day hak vich vote Dita ae me oudi v pain kad laani ae,
Abdullah Yousafzai,Jb nzr ni aah rhy tu kaisy pta ky log kharay?????,
Aimen Shah,Jb sali hakomat m.hoti h koi maan bhn bahi nzr ni ataaaa??????????,
Junaid Wazir,Jeaaaaaaya kuto billo rani,
Abdul Razaq,Jeetty rahain Maryum Anti.... Ameen,
Fazal Rahim Shah,Jeo nice,
Ameer Hamza,Jhoooti makkar,
Sardar FaiZan,"Jhoot bol kar bharosa tornay say behtar hai such bol kar rishta torh deya jaey, rishta phir jur jaey ga bharosa phir nahi jurta",
Sh„kir J„„n,Jhoot ki bi intehai....muk gaya Tera show ..nani 420,
Mubshir Khan Murshad,Jhooti,
Umar Iqbal,Jhooti maryam,
Zulfiqar Khattak,Jhot jhot aur jhot,
Kashif Nassar,Jhouti Aurat,
Malik Shahzad Ahmad Channer,Jhta or mnafaq safi,
Samar Jamil Khan,Jhuti awarat,
Alaf Tabedar,Jhuti yaha b jhut hahahaha toba yr kitni jhuti aurat ha ye,
Aqeel Abbas Khan,jihad,
Rana Nadeem Khan,Jihad ...!,
Shahid Rehman,Jihad against a government whoís trying to wipe out corruption and bring to book those who siphoned billions from the Pakistan treasury !! Wah kia Jihad hai Jahil mullah,
Mak T,Jihad e fee sabeele fazal,
Sobia Malik,Jihad has become a most Abusive word in world politics these days thanks to Pakistan. First they used it against non Muslims now getting taste of own medicine,
???? ????????,Jihad means struggling and the main agenda of PDM is to struggle for democracy.,
Talha Tariq,"Jihad will continue till I found bungla 11 , restore Kashmir cometee chairman and protocol source from fazli rahman",
Muhammad Kashif Muhammad Akmal,"JIHAD, a word wich is utterly wrong against the incombent government. All these parties had polished the same shoe for what they condemning the today's government.",
Jamil Abbasi,Jinab GB log na Apna sahi fasila dya hn.. Ap ko to GB m koi janta h b nhi,
Saad Malik,Jio jio,
Shafiq Ur Rahman Yousafzai,Jio meray Quaed ki beti.. awaam ki awaz,
Shahzad Ali,"Jis ko ek seat ni mil rai, woh Charter of Pakistan bana raha..",
Waqas Ashraf,Jiye Bhutto jiye Bilawal,
Ch Ahmad,jlso say kuch nahi honay wala,
Shahid Rehman,Jo apne mah ko TCS Kar laita ha to wo pakistan ke awan ke leye kia kar laiga,
Rana Nadeem Khan,Jo banda apni biwiyan nhi sambhal sakta wo mulk kese sabhalega,
Tahir Nafees,Jo duuuuur tk log nazar nhi araha unko mera salam,
Muhammad Jamal,Jo kuch marzi kar lo jail pdm ka muqadder hay .kiun keh ab awm choron ko jan chuki hay.,
Afaq Ahmed,Jo merzi kar lo..Tum sub ney aik saath dafan hona ha,
Abdur Rehman,Joker,
Nadeem Faiz Dhq,Joker,
Moin Khan,Joker ikatha hoa Han.....,
Afaq Ahmed,Jokers,
Umer Daraz,Jr Zardari putting maska to boys for victory in GB elections but they knows ppp is not reliable.,
Abu Hayyan,jtni marzai bhag dor kr lo kuch ni kr skty imrn khan ka,
Farid Ullah Jan,Judiciary under Nadim shah maulvi sahib justice qayuom were considered by N leauges as examplary,
Tariq Rajput,Juhat hy,
Sardar Nomi,JUI and maulana Fazlur Rehman zindabad.,
Shukoor Ullah,Just because someone is a madraassah student doesn't strip their right to express their political standpoint similar to how a University student isn't restricted?,
Sonia Amir,Just Laugh out loud at these fake-sters,
Rana Azeem,Just like altaf Hussain,
Rana Azeem,Just like ISIS felt it's doing Jihaad.,
Rana Azeem,"Just like USA,",
Rana Azeem,"Just look at him, jeepers Creepers, what is going on in that vile mind of his?",
Sardar Jameel,Just Look at the reacts.,
Khalid Iqbal Inqalabi,Jutho ki nani ????,
Umair Qayyum Khawaja Pmln,Juty tu tumhara baap chatita tha,
Aini GM,Kam ki baat to ati ni,
Khurram Hussain,Kamal Kar Diya bohat he khoobsurat taqreer ki hy,
Sagarika Thapa,Kamall kr dia ....awsom taqrer,
Aadita Rai,Kaminy ab yad aia tujy jab zaya ki Goooooad ma tha tab tujy yad nhe aia or phir janb Raheel Sharif ki Gooad ma tu gaia tab b tujy yad nhe aia ab bakvis kr rha ha tu i proud - I proud imran,
LÓkÍr B‚ÁhÂ‚ II,Kanjri ????????????????,
Waleed Ahmad,Karo karo ...... Hona kuch nahi ha is Pakistan ka,
Amir Khan,"keep changing the PDM points, good work, at least busy, not destroying country.",
Muhammad Bashir Ahmed,KEEP IT,
Zahid U Khan,Keep it up,
Malik Khalid,Keep it up brave Lady,
Adnan Wafa Jaan G,Khabi kabhi kabhi kursi nahi milegi ab sir ke bal ajao to bi nahi milegi INSHAALLAH,
Janatullah Wazir,Khadim husan rizvi Ka janaza SA pao log bhi nahihan Kaya gayara jamato ki itni bhi maqboliat Nahi aaplog Kaya hoqomat garaoga,
Kashif Khan Khattak,Khalistan zibdabad,
Choudhary Riaz Ahmad,Khan is great leader,
Malik Tamoor Jalip,Khan Ji in Ku too k bokhne say kuch nah I hota??,
Syeda Zarlish Bukhari,Khan nai kaha tha in sab ka aim aik hai aur yai jo gaseetnay ki batay kartay hai yai apnag baieo sai zyada close hongay kunkay choro jai maqsad lootna tha,
M Wasim Pmln,"Khan NY aur kuch kaha ,,,nani 420 tum nahi samaj sakty",
Malik Shahbaz Channar,Khan zinda bad,
Muhammad Hadi,Khan zindabad,
Rizwan Azaan,Khawaja Asif already was doubtful about Zardari group which did not follow charter of Democracy signed by Benezir & Nawaz Sharif. NS kept quite for some time but eventually he said what one day some politician has to speak. NS may not defeat establishmÖ,
Rizwan Azaan,Khotae de ruun,
Rizwan Azaan,Khuda Aap Sabke Sath Ho,
Raja Fahad,Khuda Ka Khair karo Imran Khan ko kaam karnay do,
Baba Butt,"Khuda ka khof kro..5,000 bndo ko Millions keh rahay ho .. loll",
Ishfaq Hussain,Khuda ke vastee awaam ki janoon se na khelo! Aqal ke nakhun lo...Aur humain jeene doo,
Noman Qureshi,Khudara bachay kuchay istafay day ker hamari jan choro ??????????,
Sardar Nasir Hazarwi,Khush horn rhe hai 11 parties itne log le key aye hai imran khan akela hi itine le ata hai .,
Wajahat Shaheen,khusra,
Ali Muhammad Ali,Khusra bilawal,
Mehar Shahid Kona,Khusri,
Khudabukhsh Khan,Khusri firdos,
Adnan Saffer,Khusrro ki wazir e azam????,
Saeed UR Rehman,Kia style hy iska love her,
Saeed UR Rehman,Kindly take mature decision.i believe on pmln but doubt on ppp.,
Saeed UR Rehman,kmal a nani g,
Saeed UR Rehman,Kml hi ho gia,
Amjad Ali,Koi dhang ki cheezain post karo,
Fida Ali,Koi funding kaam nahi aii,
Talha Toor Arshad,"koi muryam ki batoon ko dil p na ly zehni tawazun bigur gia he pagul hogai chori me pakdi gai,,,,koi nahi ,,,itna ihtraam to mareez ka bunta he,,,",
Qaisar Ali,KOI NAI MERI PEN KOI NAI...PARESHAN NAI HONA....OOKHA WELA A KOI NAI INSHAALLAH A NAI LANGDA NAZAR AANDA CHAYTI KITAY....KOI NAI......,
????? ??chor????,Koi sunlou iski bhi,
Muhammad Jameel,Koti bonk rhi ha,
Muhammad Jameel,Kotti urat,
RaShad ZaHid,Kuch bhi karlo PDM Kuch nh kar sakta agha imran khan shaib ha TM Kuch nh kar karskta PDM Pakistan Dako Momint ....??????,
Athar Faheem Faheem,Kuch bi ho akhr awam ko hi noksan hota h,
Rana Ilyas,Kurdughlu,
Rana Ilyas,Kus warkawa chrta,
Rana Ilyas,Kusry,
Rana Ilyas,Kuti maryam,
Sardar Malik Zhoaib Dawanj,Kuti chor,
Rafaqat Ali,Kutya,
Ramzan Khan,kvgmc6g5,
Sabir Tanoli,Kya bat a,
Khalid Kahral Khalid,Kyoun jahil aour unpardh logoun ko akatha kiya ha. Chund parhy likhy log akathy kr laiti begairat to aourat,
Mohammad Rafi Mehar,Lagtah ha irtigul ko UK bajnah Padai ga..iss ka sir qalam karnay kay liya,
Asif Ali,Lahnat Teri shakal py,
Najjad Khan,Lahore jalsa was bigger than this,
Muhammad Sajjad,Lahore jalsy sy zyadah log to peshwar mein qurbani dekhny k ly ikhaty ho jaty hy..,
Abdullah Rajput,Lahore ka taraki jalsa ha,
Kashif Wali,"lahore zindabad, pakistan paindabad",
Prince Mughal,LAHOREI WANTS TO MAKE MORE HAPPY IF YOU CHANGE THE MAKEUP,
Hafiz Mohammed Abdul Aleem,Lahori tujhe aur khush karein gey..Fikar naa kar..Cablary Lady.,
Minya Saab Miyan Saab,"Lanat hai is mulk ki siyasat pr srif zati mafaad ki siyasat hai , dunia crona sy mar rahi hai aur idhr bndy p bnda charha hva hai",
Kj Arvind,Lanat Maryam par us kay khandan par.from mardan,
Kj Arvind,lanat nani patwarven,
Naeem Akhtar Rajpoot,LAnat nani7172,
Shehzad Hanif,Lanat ter ty Maryam And PDm ty,
Ghulam Mustfa,Lanat. PDM,
Altaf Abbasi,Lanati media ho tm log,
????? ????? ????,Lannat hoo maryam par chor kii beati.,
????? ???? chor?,Late but it's ok..,
Shahzad Butt,leader!,
Jahangir Baloch,Let see Child.,
???? ???? ???? ?????,"Lets See, What to happen to this decision in the near future. No one can allege without proof. If court is declaring NS a criminal then he is a criminal. Money trail is all about transparency. He should pay back to the national exchequer the money oÖ",
Hassan Bhatti,LGBT is going to achieve nothing even if incumbent govt goes home. In case it goes then Sindh govt will also accompany it. Visualize the scenario where there'll be no state apparatus behind the notorious corruption king and no production orders and otÖ,
Aman Ali Kashmiri,Liar of the 21st century,
Shafiq Ahmad Pashton,Like,
M.A. Shah Fahad,Like,
Qaderdad Shar Bloch,Like,
Qaderdad Shar Bloch,Like it,
Hammad Hammi,like u love u maryam api,
Rifhat Mudasar,LIVE | PDM Lahore Jalsa - Minar e Pakistan | Maryam Nawaz - Bilawal Bhutto | BOL News Live,
Rifhat Mudasar,Lo jhoti sari dunia dkh rhi h ktny log hn,
Rifhat Mudasar,Lodshetiing aur deshet grgi Khan Imran Khan hero pm pakistan vernal bajwa sab khatem Kya madam jhot.mat bolo,
Rifhat Mudasar,Log jitny b hon ab koi imran khan ko vote na dy jeena harm kr dia h is ne greeb awam bichri alu khany se b mehroom ho rhi h,
??? ???? ???? ?????,Logon ke liye chairs Ka Intezam nahin kiya aap Logon ne apni chairs Ka intezaam Kar Liya wahh g wah g,
Raja Ghanghro,Lol,
Hamdan Fareed Shaikh,lol,
Irfan Ali Khan Mayo,Lol deisel,
Ravi Kukreja,"Lol, now you don't...",
Wakeel Qureshi,Lol. Alliance of Corrupt elites ho are in power since independence and now crying for rigging .do you have any shame??,
Tahir Nafees,Lols...,
Fauji Khan,London k falet k bi bat daena chahiey kasy ??,
Mazhar Janu,Long live dear sister .,
Irsadh Bha,Long live maualna,
Zubair Y Zubair Y,Long live PMLN,
Abdul Haseeb,Long March inshallah,
Sajjad Hussain,Loog siraf mayam ko dakhny kaliy aayi hy,
Sajjad Hussain,Look at that woman and have a look at Babar. He is professional personality how could he does such things. This is totally false and untrue allegations over him at all.,
Ashfaq Ahmad,"Look at the draft true constitutional democracy for the 7 families, what would be wrong if these so called Media give lessons on Khandani democracy,",
Xh Abid Ali Adv,Look at them! They themselves are not fresh how can they make fresh charter,
Ghaffar Khan,"Look at these thugs, the way they have presented the charter of demands, as if all was ok before and everything went bad in last 2 years only, which they will fix in a blink of an eye. Nation has rejected these thieves and election results of GB is anoÖ",
Usman Kharal,Look who's talking. The birth child of establishment. And yes imran khan is the best to do this job of civilian supremacy who is selected by majority of Pakistanis.,
Shaikh Habibullah,Looks like software being updated,
Shaikh Akib,Loomri,
Kashif Safdar,lordh we?,
Waheed Ahmed,Lots fazal ap ney kia kia 30 tak tu ap tha,
Zahid Azam,Lots of luv,
Zahid Azam,Love u,
Zahid Azam,Love ?? pakistan ???? love ?? pti ????????????????????????,
Zahid Azam,Love you imran Khan,
Zahid Azam,Love you ????? ???,
Zahid Azam,"Love you,pml,n",
Ahsan Jatoi,lovely,
Pmln Tigar Pmln Tigar,Lovely ???? ??????,
Zubair Shah Oryazi,Lun pa Charo nanni...,
MuhammadQasim MuhammadQasim MuhammadQasim,Lutry hi thk thy agr wo tutry thy to greeb logon k liye b har chez dastyab thi,
