user,comments,
Ch Umar,Ppp claim shaheed party there favourite slogan..only shaheeds are fauj..these ppl died for reasons nothing to do with a shahadat benazir died trying 2 save herself from corruption cases made deals with foreign governments fact also her husband is primary beneficiary a joke,
Ch Umar,PPP is a party of criminals,
Ch Umar,PPP is going to taste the taste of the sacred shoes with their tongues,
Ch Umar,PPP zinda bad ??,
Ch Umar,Ppsc corruption,
Hayat Ali,Present yourself for sacrificy first,
Ch Umar,Price of a kg eggs,
Atta Ur Rahman Pmln,Prime Minister with zero performance but don't worry he wear kurta with 2 holes,
Ch Umar,Promoting COVID 19 no sense your father lost the election rules for all those years and did not much except steal from the poor with loans going straight to you and your family justice will be done,
Ch Umar,Proud,
Ch Umar,Pti day kutyo,
Ch Umar,Pti day spotero,
Ch Umar,PTI followers will not sit still.,
Ch Umar,"PTI ko aye huway 3 Saal be nahi huway, tum logoun ne 30 saal main kia tir mara hai, puray mulk ka beda garq kr diya hai",
Jawad Ahmad Yousafzai,Pti zendabad,
Ch Umar,Pti zindabad,disagree
Ch Umar,Pti????????????????,disagree
Ch Umar,Puppet Niazi go..,
Ch Umar,Puppet Pm na manzoor,
Ch Umar,Qayamat aa nahi rahi aa chuki hy.ye bhi aakhri waqt ki nishani main se ek hy.,
Ch Umar,"Quaid ne NRO ni liya, azadi le the pagli rolai ga kia",
Ch Umar,Quaid-e-Azamís reaction in his grave upon hearing this:,
Ch Umar,"Quaid's narrative is far far away from all the political parties of Pakistan. Yeah, it is a cool way to fool the impoverished population of this country.",
Ch Umar,Quid e Azam ka bayaniya curruption nahee malo dolath nahee ye bayanaya sirf choro ka hai,
Ch Umar,Rahul Gandhi of pak,
Ch Umar,"Real competence is getting railed by sakur on international media and producing a fabricated document in a font that didnít even exist, gotta love the irony",
Ateeb Ahmed,Religion is best tool to fool people,
Nabeel Khan,Religious usage is in full swing again in Pakistani politics.but now people don't bother to take it serious so pdm should stick to their Democratic demands rather than blackmailing.,
Ahmad Masood,Remember his name and remember his face he will send Niazi and bajwa home Inshallah,
Zahid Ali Mughal,Rent a crowd.... hahahaha,
Zeeshan Haider Official,Respect and Salute to this great brave man ......,
Talha Cheema,Ro Maryam RO. Rona muqadar ha tumhara,
Ikram Manj,Ro PDM Ro. Long live IK.,
Haris Mugheri,Rogue in clerical disguise. Diesel. Rejected Bull of the KPK.,
Ayesha Rehman,Ronda hi rhnda ae..... jeet Jaty to thk wrna dhaandli,
Bilal Sandhu,Saad I like the ìrat thingî comment !,
???? ??chor?,Sab k sab ek hi team se khel rahay hain!,
Usman Sharif,Sab ko jatti umraaa lay jaoo nani g,
Usman Sharif,"Sab log bolo Ameen, Summa Ameen, Jis jis nay Pakistan ko Lotta Hai Allah us ko khark Kar Ameen, chahey wo Pti ka ho PMLN ka ho yah PPP or JUI ka",
Truth speaks,sab say pehlai Pakistan. yai sarai 11 party walai mufad parast hain. lahore ka jalsa be nakam hova.,
Saliha Taror,"Sacrifying for protection of corrupt and criminals can't be part of islam neither jihad in Islam but possibly in Non islamic religion followed by greedy Fazalur Rehman, his family and followers.",
Ali Humza,Safdar ka sath bagny wali,
Zulfiqar jk,Salami deny wali 25 tupy icko Marni chaye 25 k 25 fire icky stage par marny chaye ta k ye SB Chor 1 sath maary Jaye Jo Bach Jaye Bilawal sahiba wagera shaikh Rashid uska khayal Rakh lay ga??,
Abdullah Asif,Sanam zeeshan Kha h,
Ahmed touqeer,Sare chore ikhathy huwy hain,
Israr Muhammad,sare khu zaan ta da janat deer asaan ko..,
Haji Muhammad,"Sarha deserves respect and became voice of oppresed people. She has rightly said India is not the largest democracy of the world. Infact, India has never been the largest democracy.",
atbaf abarak,Sari jahil awam akhthi hui ha choro ko bchany k liye,
Expert Chanal,Sari zindagi governments main rehny wali parties phir wohe slogans ....afsos,
Shad Muhammad,sary bachyn dekhny aye hain sub tharki hain baloch beghart nhi jo tery pechy ayn gy,
Taj Khan,Sary chor akhaty hain taira mouqam maira mouqam chouroun ka thekydar amir mouqam,
Mahnoor Shahid,Sary tharki agy hahahaah,
Literature pk,Sb ko pta ha ye kya krne ae hain??,
Hafiz Gulam,Scenes during mian sb speech,
Ashfa Zaman,Sea of man,
Masood Khan,"Seat has been booked for next ""katputli""",
Sanjy kumar,See Billu got tensed just because of their NAMES & not for involving institutions.,
Danish Hanif,Seeing these thugs my belief in IK gets stronger.,
Zain Jamshed,Selfish & characterless person,
AMIR MALIK,Sghsjsbsn,
Jamil Iqbal,Shabash pti Imran khan,
Umer Ch,shabash...lagay raho in choro ko bachanay k liy....choro k sardar bajay is k k tum in ki chori baynaqab karo...tum he inko lead kar rahay ho....sharam karo molana sab...,
GamingRanchYT,Shair,
Hamza Mobiles,sham sham PDM,
Jabir malik 538,"shame on ARY media group for negative reporting, according to ARY due to small amount of crowd PMLN leadership may not start there rally.",
Iqra Hamad,Shame on this guy,
Shahzad Amjad,shame on u shame,
najma israr,Shame on you and your corrupt legacy.,
Saleem Zardari,shame on you... We respect the leader and we will listen to him... all chors together!!,
Fareeya khan,Shame Shame,
whatsapp status,Shameless mulla using Islam for his political gain.,
Tanvir Ahmed,Shameless scoundrel!,
mano doll,"Sharam kar lai, asey baat kartai kisi bazurk say.",
Sameel raja,Sharam se doob maro,
Shakeel Ahmed,Sharam tum ko magar nahi aati,
Raja Shampo,Shatan,
Fatima Khan,Shava bie diesel shava!,
Umar ali umar ali,shb ye bhi jahaad hai ??,
Amna Hashmi,"She is a star..... unlike selected puppet Niazi, Maryam actually is a mass leader.",
paki masti man,She is soooooo cute????????????,
sara raya,She is very beautiful and intelligent lady,
Imran Bhai,She needs some good mental care attention,
Pakistani prank,She should have been locked up when she threw stones on the nab,
Channel 9,She should have been locked up when she threw stones on the nab,
Jomin Marcelo,She should have been locked up when she threw stones on the nab,
riaz saqib,Sheeeeerrrrr,
AMIR MALIK,Sheeeer,
Jabir malik 538,Shehzadi chah gyi ho ap,
Abdul Qayum,Sheikh rasheed ka itna kamzoor byan aj tak nahi dekha,
Tanvir Sheikh,sher,
Maira Maryam,Sher,
ismail khan,sher ik vari fer,
The Phenom,"She's not vice president of party, she's convict of doing fraudulent in the supreme court.",
bushra Amin,"Shitty PDM , just playing with peopleís mind and brainwashing it",
Muhammad Ismail,Should we expect next PPP GOVERNMENT?,
zeenia khan,Shrek,
Awais Abdullah,Shuroo hotay hi khatam..,
Main Asjad,Shut up!,
Noor Khan,Sides or pehchay sab khali hai hai...Or kafi jaga beech beech may say b khali...,
Inam Ullah,Sign of the times,
Hina Irshad,sindh ji niairie bilalwal niairie,
Umer Hayat,sindh ki awam b ya sab chahtii ha,
Mehek ali,"Sindh sambhala jata ni, dosry province walon ko guideline de rahy hn k tm bi tbha ho",
AAMIR NAZIR,So again people. believing these people who are themselves a leader but actually they are criminals and do what is in there favour .Also provoke people for. there own business .He is delivering speech as he himself make new party not people party ..Ö,
m akrm,So at will these Godfathers and Sicilian mafia will decide when to take names of the institutions and when not only suiting their political convenience and criminal proceedings in the courts!,
mohammad salim,So Cute Naani,
Prince Unknown,So is he being lined up as a successor to Imran now ??,
mzFu Shab,So sad to see people are actually believing the deceiving lies of opposition in the .,
shah Zaib,So sorry to hear about bilawal!,
Usman Malik,So we want you to sacrify first .. you and your for Father's were against Pakistan since independenence .. while PPP tenure was worst ever 5 years in pakisan history .. and bilawal is saying we would ended up corruption bla bla .. both Maryam and bilawÖ,
Rana Kashif,"So what happened to the previous Charter of PDM ""Pakistan Destruction Movement.""",
Rashid Aquil,So who told him govt is going in Jan?,
Naeem Tariq,So you will not discuss these things in front of public and in rallies but you and the establishment will do this dirty politics behind closed curtain and decide the future of this country? Well thank you for exposing yourself.,
A M,Software got updated.,
Abdulllah Naveed,Software has been up graded,
Mohammad Sulymen,Software has been updated to Nov 2020.,
Ajmal khan,"Software installed successfully, party is now ready to kiss the boots",
Dark Knight,Software Update,
Main Asjad,"Software update by , become PM is next to impossible with out boot",
Saadi Ahmedii,Software updated,
Rm B,Software updated,
zaheer aslam,Software updated,
nazneen ingi,Soo nice Good madim ji,
Muhammad Usama Butt,South African Corona virus is like aids virus for people with pre-exiting conditions,
???????? HASHMI,Srdi bht jlsi sukr gyi,
Gulabsingh Singh,Stay Bleases sahibaa,
Aneeq Rehman,Stay blessed,
Mr Cute BoT,Stay well,
Kamran Malik,Still middle sex...,
Umeed E Sahar,"Still not enough to be a leader,",
samreen baig,Stop the swab. Don't need a jab.,
Ar?am Archorad,Stunning,
Bilal Rana,Stupid old man,
saleha shahzad,Suar,
Hasiba Yasin,sub sy pehlay to ap k abu corntine ho gy unhain ly k ao wapis dali,
Arooj Arif,sub tumhari waja say PDM,
Maria Shafiq,Such a shame that you are enjoying this push and pull of people when our country and the whole world is going through a wave of pandemic. Instead of worrying about the health of people you are only concerned about your own selfish interests. You dont dÖ,
Islam zindabad,Such bat karne wala jhijhakta nhi hai. Aur na hi,
Mian Adil,Superb,
Fazal Karim,Superb,
Samina Rauf,Supporting bilawal! Mashallah!!!,
shaheryar nawaz,Sweeeeeeeeeeeeeeeeet,
Adeel Shaukat,Swer k buchy,
najma israr,Tabedar Khan ????????nice name,
Bilal Sandhu,Tabeee dar captain safdar,
Muhammad Biwil,Take care of Sind first in general and Karachi in particular who pays you then talk about the rest of country,
Syeda Asma,"Takht ka nasha bht khatarnak hota h , dekhy kitny log is k liye bezat ho gye",
mano doll,"Talls gass ghare, chatt ha lagi",
Farooq Hassan,"Tareeqh pur Tareeqh, Tareeqh pur Tareeqh, Tareeqh pur Tareeqh, young Chairman why December time line is extended, Pls share the reason.",
Geo News,Taso mardan ta cha prekhi ye sharmedalo,
Hafiz Noman,Tay jaara imran Khan nu ly k Aya ae,
Usman Malik,Tera abba Curruption ka god father tha Teri mama bi or to bi ha,
Ahtsham Jutt,Tera shohar ko kahan aag laga di nani 420,
Ehtesham Shahid,"Teri kulfi jum gae, dandi kis ki the under????",
zaheer aslam,Thank u Corona sharif. Neither she nor the stupid and ignorant followers care about themselves and their love ones,
Umair Saeed,Thank you bannu,
Hassan Nisar,Thank you Imran Khan,
Rizwan Khan,"Thanks God he realized that we dont enclose these types of information in broadcasting, but Ns have dig his own grave by pointing the military alliance and accuses them for the mistakes of past",
Uneeb Ali,"Thanks to you abc your father for looting the nation, khan had to ask for loans",
NFS Shaheen,"Thanks, now pls go and sit home",
AMIR MALIK,That clown told the month but forgot to mention in which year.,
MUHAMMAD NABEEL,That's why PM Imran Khan want to promote education in country,
Dawood Karu,The allegation he has levelled night be true but the prediction seems to be baseless,
Maqsood Ahmad,The balooch deprivations stared in prrvious govts.the Balooch and pkhtoons always used you pepole for their own purposes.,
Awais Abdullah,"THE BRAVEST , THE CLEANEST , THE TRUTHFUL.... NEVER EVER RUNAWAY.",
muhammad ans,The cat has come out of the bag. Such a shameless coalition.,
RJ Ruqayya Jabbar,"the country was created on the name of Islam as a binding factor among masses, but subsequently religion has become an indispensable part of pakistan politics . It's shameful that every politician played religion card in campaigns to exploit the sentimÖ",
Muhammad Shahid,The example of these corrupts politicians is like a hungry wolf who can even eat her children if hungry. Our Pakistani politicians and bureaucrats when out of offices can go up to any extent against the country.,
Tayyab Wattoo,"The first is to account for the public money that has been looted and taken to Gulf countries, Europe and Singapore by launches and other means of money laundering. ?? ?? ???? ???? ?? ????? ?? ???? ???? ???? ?? ??? ??? ?? ?? ?????? ?Ö",
Fatima Khan,the govt in January after this statement,
Saba Tariq,"The inglorious thugs are trying to ride on the back of others who are not that idiot. So if A fails then B is to gain, esp when A is destined to fail. It seems that B has seen the pitfalls, realized that A is on a suicidal mission or perhaps found a waÖ",
Danish Hanif,The interview is being twisted by IK controlled media nothing would said by Bil just he said NS is of three times PM and he will never announce the me unrill he has no evidence so be ready for hearing the evidence because,
Ghulam,The looser!,
AAmir Khan,The most corrupt and disgusting Maal Lana,
Shan Awan,The most funny statement of theday. I am confused either it's joke or just a slip of tongue.,
naz Khan,"The only politician who has the balls to work for democrasy in Pakistan clearly,,, not his supporter but have to admit that he is one of the most mature and wise politician of Pakistan..",
meesam Vlogs,The people of Gilgit want to see what kind of species she is?,
faraz menGal,The people wanna vote to this transgender i wanna see the face of thos people for 5 minuts,
Sidra Raja,"The success people always follow the strong people but he is in the middle he doesnt follow the zardalu and nor benazir, as like we are confuse about he/she.",
shujaat hussain,The use of religion and common masses for their cheap purposes.,
waqas khan,Ther peoples of bannu karak and lucky marwat wants and waiting for ur arrival in bannu PDM jalsa but u r absent why????????,
Ayesha khan,There can be no greater thief than your father Just think how many loans your father took,
Tayyab Baloch,There is no any flag which is belongs to Non leeg,
Syed Rasool,There is no example in the world of such a poor man who has made billions of rupees through conspiracies with the ruling governments for the last thirty years.,
Muhammad Shahid,Therefore Sir he deserves to be treated like mad dog,
Ali mex willsonalex,These all are proved corrupts will never achieve their evil agenda,
Tanvir Sheikh,"These are elements which destroy the ideology of Islam by framing every movement in their interest as a sacred cause of religion. My question is this everything you say is jihad and what about those ladies who go out to work risk their lives to teach, Ö",
Mher Nadeem,"These goons have family limited parties,while talking abt democracy,first bring democracy in your parties",
Syeda Kiran,These Mullas making fun of islam,
THUNDER GAMING,these people's even don't know the meaning of jihad that's why they called jihad to the fasadian activities,
ground reality with sufian anjum,These thugs should be kept behind bars for creating nuisance to public & Pakistan in general,
AMIR MALIK,These types of opposition gatherings and speeches are anti democracy. Where in the world stupid opposition leaders are allowed to speak like this. Only in Pakistan! It should be declared illegal and those who do and support got to put in jail!,
Farhat Yaseen,They are rejected by the ppl,
Arshad Khan,They are used corrupt people of the country.,
Guest231 Guest231,They doing for come back in to power,
Jasmine Studio,They doing for come back in to power,
Usman Malik,"They have no work left to do, so it's better to just reject things. They are shame for our country.",
Noman Waheed,They lied about shabber zaidi statement!!!,
shujaat hussain,They lost hence rigged .... wow,
Mohdidrees Mughal,"They Should go into the hell, There is special area reserved foh them...",
Haider khan vlogging,"They were in governments pmln was in government,what they have done for people of baluchistan and what they have done for other pakistanis??",
Kamran Khan184,This shows the popularity of maryum nawaz sharif,
Zidi Jutt,THIS CLOWN IN TOWN IS NOT TAKEN SERIOUS BY THE KARACHITS ... LEAVE ALONE THE MASSES WHO HAVE ALREADY REJECTED THEM.,
Meri jan44,This Diesel permit Molvi should first do Jihad with his greed .He embezzled millions of rupees while being head of Kashmir Committee. A Corrupt & a dishonest person to the core.,
Shahzad Afzal,This extremist ch***a should be de-platformed .. canít believe the so called intellectuals of this country are vouching for this guy,
riaz gul,"This group of corrupt,selfish & unpatriotic people has no regard fr the lives of citizens. They r all about saving their ill gotten loots saving their families who r absconding abroad. It appears as though they trying their best to spread the pandemic Ö",
sanaullah pk,This guy needs to be locked up !,
Malik Umair,This insane child cant even cry enough like my my 8 year old child and people call him leader with zero political guts. Just selling an ethnic lines with empty rhetoric.,
MOHAMMAD ASIF RASOOL,This is a man who stands with a dictatorship for 8 9 years. Agreed with him compromise on democracy and for seat and now he is talking about Democracy. Sham on u,
Ayesha Kakar,This is a progressive move,
Nasrullah Malik,"This is called jalsi , Pti aur Pdm ka time gaya , deen aya deen aya",
Shahbaz Awan,"This is called mixture of thieves, robbers and immature masses who follow blindly their corrupt leaders..",
Shafqat aziz,this is called power of money,
Muhammad Fezii,This is called sunami movement.but dokey raja dancing people named sunami.,
asif hashim,"This is called, a joke of the century",
Muhammad Shakeel,This is ghat khreeeeeghood insan,
Taj Muhammad Afridi,"this is know evident that a religious politician ,who has always been in govt but in this government, is using islam for personal interests and greed for power is his only aim .",
Zahid Ali Mughal,"This is not pdm. He is something, PMLN is using to get the votes.",
Zoobi Zooi,this is politics.... first they both ppp and pn together but for sake of election they mend their ways,
Engr Zarin Malik,"This is PPP's politics....., history also proves this. As long as Trust deficit prevails they cannot turn into a real opposition. Certainly, BBX and his party must have been assured some relaxations to f different nature plus, actually they (PPP) don'tÖ",
Sidra Raja,"This is the most sensitive time, everyone knows their is some hidden fact.",
Ayesha Kakar,This is the need of time. Army should go back to their barracks. Their should be a civilian supermacy. Every Institution should do their own work.Every Institution should be made politics free as our Army is doing good job due to less interference of PÖ,
Jameel Qureshi,This is what I'm predicting: PPP is going to make a loose coalition government in GB and some kind of relaxation in the cases against it's topnotch leadership in consideration for scrapping itself out if this PDM drama because it won't be a beneficial Ö,
Fasih Uddin,"This Jihad will surely stop, once govt stopped oppressing the robbers and plunger of the nation.",
Sara Bukhari,"This kooky crackpot did everything to galvnize thingz in his favour .Utilized her daughter who is good for nothing ,and made his bastion as venue and 18 MNA to invite stooges , but still he failed .Last nail in your coffin you scumbag .You rot in hell Ö",
Hamza Ameen Lahori,"This man,s speech is complete insult to the intelligence of the ppl of Pakistan.",
R ch,This molana was heading kashmir affairs fo 10 yrs and could not do anything...aaj hamdardi dikha ra hai,
Maheen,This molvi can go to any extent.,
support premier,"This Naibba will loose his credibility if he don't have courage to stand with Truth ,her mother and Father Sacrificed their life for what they stand for and this loosing his mind on small pressure",
HA Hashmi,This pseudo molvi has property in millions used madrasa poor students as paws for his dirty interests he's is a paroah of present,
Haider khan vlogging,"This shows betrayal of NS and Team, how is it possible that after many PDM agenda meetings they were not informed of the content of their speechís.",
Tanveer Ur Rehman,This stupid guy needs tons of burnol.,
shahbaz uddin,"This the politics. Marium Safder & her PMLN team, Opposition super Molana & party, need to learn politics from this junior Zardari.Well done BBZ to turn the table and bring PDM at point of no-where.Politics art to make fool.",
Usman Malik,this will IA give all the parliament and politics licence for unlimited corruption without being questioned. To deal with all international affairs and national security issues.,
QADEER kHAN MOHMAND,"This will ??chor?????? laid down the foundation of Civilian Supremacy in the country, it will indeed be very tough to achieve but there is a light at the end of the tunnel. Pakistan can't afford more experiments and the one being tried by installing selecÖ",
Anaya Noor,"This will ??chor?????? laid down the foundation of Civilian Supremacy in the country, it will indeed be very tough to achieve but there is a light at the end of the tunnel. Pakistan can't afford more experiments and the one being tried by installing selecÖ",
shahbaz uddin,This woman has no dignity left in her skin,
Waseem Ahmed,"This would have been a specific type of jihad which needs to be fired on the Democratic govt. , its army, govt. machineries. And all of this needs a special category of folks having zero IQ level.",
Riaz Khan,"This young boy comes with so much confidence, such little knowledge but with burning ambition",
vilma favorito,This zebra's word does not beautify a woman. Open your mouth ...,
Umer Ch,Thk kha ap ne,
Shaheen Iqbal,Thuggery expert,
Shaheen Iqbal,Thugs of Pakistan.,
Shaheen Iqbal,Thumhara bao ager satcha hai tou usay pehlay pakistan bulao woh or is k sathi chup Kar bahir batay hai.hakoomat Kar Kar k abhi pat nahi Bharat.,
Qazi Mehran,Thus spake mevlana DIESEL!,
Nadeem Khan,Thx krta ho top fan list me shamil kia so thx,
Mohsin Khan,Till Pakistanis bring it's army under civilian rule they'll not flourish.,
Channel 9,TLP,
Muhammed Altaf Hussain,TLP zindabad ??,
Danish Hanif,Tm jo kho hmain asr ni q k dako dako e rhty chahye jo khyn r lutary lutary e ab bnanay lgi ya na ahlo ki ama P M toba shql dkhy surgery ki mari hoi,
Gry Cyprus,TM qadam barao hm tumare sath hin vote ko izat do imran ko zilat do,
Shad Muhammad,to peghly ap log kedar thay ???,
Shad Muhammad,Toba toba toba kitna khoof ha imran khan ka k 11 party mil kr zoor laga rai han??????????????,
A Malik,Toba toba.....,
Maryam Saeed,Today mariam looks in full tharki moood ??????,
Shahzad Swati,Today the people of banu miss you..,
Uzair Khalil,Total flop show,
Zahid Mahmood,Totally flop show ..... not more than 15k people,
Chheena production,"True, that. The part about incompetence. Add to that, the usual roundabouts and U-turns. But hey, Incompetence can be addressed by experience, trial and error and by harnessing the expertise of people with the right skill-set. Theivery, Crookedness andÖ",
Aslam jaeeml Aslam,Trump will eventually take the hit,
Nousara butt,Tu apne abu k qarze utar de baqi hum kar lein ge,
Qaiser Mahmood,"Tu mera puttar chutti kar, chal",
Heart Breaker,Tum logo ko sharam b nhi ati yaar Binazeer ki pics jo penki thi helicopters sy wu video dhekao na,
Muhammad Akram,Tum logun ko Kia pta jail Hoti Kia hei,
Bismillah Mobile,Tum us k khalaf baq Rahi wohi foji ha giraj Wala,
Kashaf Ali,Tumhara bap ten daffah ka wazzery azam Tumhara chacha 20 Sal Punjab ka ch minister phir Pakistan ka yeh Hal galban jinno NY ya Farish ton NY Kar diyya hoga aur dosra sawal ye hy aggar ap log itny sachy aur mahsoom ho to Sara khandan bishmool ishaq dar us ka baita London me kiyyo 2 Sal sy chup Kar baithy ho aggar ap ny kuch naieh kiyya hy to awam ap sath hy baqqol ap KY Pakistan aahen aur apny auper laggy her illzam ka jawwab dein,
Adeel Khan,Tumhara tamasha dekhne aae hain,
Abdullah Asad,Turrtrrr,
Muhammad Amin,"U are just puppet and western slave mindset the only thing u want to control is that no islamic points will be raised at pdm rallies , that was demand of pppp from pdm because pppp is western slave and the others are also",
Ansir Ali,U can't control him he can't control u no one can control anyone then what is this alliance made for,
ToAd ToAd,U cnt talk like ths baby... its need courage,
Waqqar Faheem,U r giving away ur sister to an Ahmadi Family which was declared non muslims by ur grandfather n here talking about the rights of these silly people..,
sohail muhammad amjad,U r just boring PM Ka ap log kabi b muqabla nahi kar sakty Q K wo suchy insan hy or ap logon ko such bolna hi nahi ata ????,
Fakhar Ali,U turn,
\6 Ilyas,U turn. Now another tactics on putting pressire on govt to give NRO. The issues they are trying to raise are indeed caused by these corrupt politicians in past decades. Imran Khan is clearing their mess. He needs time. They dont want to afford that timÖ,
Jomin Marcelo,Upcoming PM Pakistan Inshallah,
Qaiser Ghazi,Upcoming PM Pakistan Inshallah,
Mohdidrees Mughal,Ur Government in Sindh need to be Go in Jan,
Shahab bangush,Using Islam for Islamabad,
Abid Mumtaz,Using religion for ur kursi.... how low will u stoop diesel?,
gyan Hai To Jaan Hai,V good,
Gulabsingh Singh,V good,
Shumaila Ezaz,V good,
Charter World,V good,
Aneeq Rehman,V good,
Abdullah Qureshi,V Nice,
Irfan Norani,Very chief from Fazlu,
It'sshow Time,Very good,
Am Kkr,Very good,
Syed own Haider,Very Good,
skill man,Very good,
ROMI,Very good,
Malik Imran,VERY GOOD A NYALSISES,
imran abbas,Very happy ???? ????????,
Zafar Iqbal,Very Nice,
Imran Bhai,Very Nice,
ROMI,Very nice ????????,
imran khan,Very nice ????????,
uzma naz,Very nice maryam love u,
Myra Ali,"Very very irresponsible and utterly useless statement by BBZ. When people become your strength, they stand up for you and want you to stand up for their basic rights, and you fumble and cower down and out, it just shows you up for being part of the proÖ",
butt butt,Very well said Maolana we r with you,
khan shinwari,Vip,
Rashid Sukhera,Voot ko izat doo,
Najia Rizvi,Vote ko izzat du,
Ahmad Faraz,Wah Billo Wah Great Aunty,
m akrm,Wah great peoples gathering,
Bilal Malla,Wah molana.. Wah.. Nice words...,
Iqra bhatti,Wah nani wah,
Khan Ibrahim yousafzai,WAIT FOR THE THOUSANDS OF SOLDIERS SURROUNDING THE STADIUM THEY CALL IT SAFE.,
asif hashim,Walykum marime nwaz ??????????????????????????????????????????????????????????????????????,
Sanjy kumar,wanna be friend?,
Muhammad Aqib,Wapes aa be bhagore,
Allama Qari sheraz kylani sultani,War ka dang diesel sab .,
Ali Ejaz,warza pe,
Atif abbasi,Wasted,
Ovais Ahmed Khan - oAks,Watch at,
Danish Hanif,We actually talk like this in private only .,
Muhammad Akram,We all know it takes a huge amount of courage and we all know too that you lack it,
feroz shah,"We appreciate your narrative the day is not far that we will have civilian supremacy, where all thr people will be equal in the eyes of law. Where there will be accountability for all.",
Mohammad Hussain,We are extermely miss you,
Pakistani Soldier,"We are the ""selectors"" and we elect him again and again. And waht about nawaz shareef us ny pakistan ko kis pass girwi rakha tha????",
Rana Jee,"We have to throw out these lotmar Gange (DHA, FWO, Papa John's, NDMA bla bla bla).",
Irfan Norani,We hope that the PDM will play it's due role in stabilizing the democracy nd civilian government in Pakistan...IA.,
Haseeb G,We learn you free skilss of freelancing which is totaly free of cost who is intrested dm me here is our youtube page link,
Night Riders,we love you MNS,
Guest231 Guest231,We missed u mam,
Heer Heer,We r lahori we r not with her at all,
Shani Umair,"We reject PDM, we reject N Legue",
Nasir Kabeer,We REJECT you and your sponsors,
R ch,We should think of Democratic stability instead of not letting him to work properly and blaming him for what is going on.......5 years are not enough for a party to show it's performance.,
Mubeen Usama,"We used to think of the PPP as ""anti-establishment"", but it turned out to be ""aunty establishment"".",
Fakhar Roshan Naqeebi,"We will accept this Jihad only if Fazal Rehman, Nawaz Sharif and Asif Zardari are ""martyrs"" of this sacred cause.",
asif hashim,Welcome,
Channel 9,Welcome all the most,
Abdul Razaq,Welcome Bilawal to mini Larkana Batkhela Malakand,
Sanjy kumar,welcome to malakand,
Abdul Hadi,Welcome!all the most distinguished guests to land of Bannu,
Amir Shah,Weldone,
Usman Ali,Weldone Maryam Bibi,
Inam Ullah,Well come dear maryam,
Misha Wasim,We'll come To Bajaur,
mariam sadiq,Well come to bannu,
International Media pro,Well come to PDM in Lahore,
MUHAMMAD JUNAID,Well done,
Zeenat Khan,Well done,
R ch,Well done,
???? ?????? Waheed,Well done Maryam's,
Uneeb Ali,Well done p d m,
Iftikhar Ahmad,Well done. Bannuu walo. Keep it up.,
Aminullah Marwat,Well said . He is such an incompetent. U turn army puppet!,
Atif abbasi,"Well said,",
AAmir Khan,Well said.,
Syed mohemmed Adil,wellcome,
Impossible Target,WELLDONE,
Channel 9,"Welldone, good work PDM",
Abid Munir,"What a beauty she is ??, i am imran khan supporter but i love se see her",
Majid Majid,"What a confidence these looter have , I don't know how they can talk about Gov't and establishment.....",
Naseer Mahar,What a great *Effort* to spread Covid-19 Among them. Apni chori bachane k liye inko bahar nikala hua h Lahore s shuru hui PML(N) or Lahore me he Dafan hogai historic Flop Show ever wo jisne kabhi kitchen nh chlaya zindagi me unhe Country chlana h Ö,
Sara Bukhari,"What a mean diplomacy and appeasement overture by Bilawal Zardari to buy over soft corner of Establishment for him and his party. Ultimately, you will have to undertake the same stand N league has taken.",
Ad sidho,What a shameless naani,
Khushhal Pakistan Zindabad,"What a stupid speech, pata Kch nhi buss yehi mera biyaniya hai. Abey biryani kha bhae jakr Nikal ab",
samreen baig,what about those constituencies where PPP won from PMLN and vice versa ?,
MJk Internationals,What about when ayaz sadiq was maligning pak nation and army in the parliament did You or your party protested ??,
Naimtullah khan Baloch,What about yours father competency when was unable to reply properly Obama and Obama was chuckling at him. What the hell is that! a Prime Minister of country could never meet the demands of International forum where he is supposed to represent the peopÖ,
Shahida Zaka,"What an effort to spread deadly virus, at least show some respect and empathy towards Pakistani people. Please do your politics after that virus will be over. I am not saying who is right or wrong here.",
Uzma B,What do they want? Whatís their motive?,
Farooq Khan,What else bilo rani can say now these corrupt ppp has destroyed Sindh now they will not come back,
Pak Rider,What else thay can do.,
Ad sidho,what ever you said or you wont to say NOW we Pakistanis won't our country money back ..return this money which you & your family transferred abroad ....now no more family imposed power ...enough is enough...,
Arshad Khan,What is the stage..?? They want Looters not to be questioned they want Criminals not to be jailed Sindh Gov Today reported to be involved in Stealing wheat from godowns. This is the freedom they want. This is now full responsiblity of judiciary to speaÖ,
Mearma Khan,What joker he is....look at him.LOL,
Bismillah Mobile,what kind of democracy is this where we are not allowed to plunder freely like we used to do in past and we are being questioned on corruption.,
sabir tangi,What kind of nonsense is this? Shame on you to provoke people against government.,
Guest231 Guest231,Whatís about corruption,
Mearma Khan,"When i misread Malakand, i realised how much I hate my mind.",
Sumaiya khalifa,When to come to Sialkot,
Narinder Kumar,"Whenever I see him, I start laughing I don't know why, I failed too understand how people of sindh are supporting him",
Syed Shah,Where are flags of ppp and pmln?,
NFS Shaheen,Where is corona,
umair nasir,Where is corona,
Arshad Khan,Where is pmln flag,
One and only,where is this news?,
wounded heart,Where was your struggle when you knew that you are being played by corrupt mafias??,
Taimur Mughal,Where were you Maryam?,
Akbar Abbas,Which year???2028?,
G M,Who cares?,
